activity	time	p	p_peak	p_smooth
Playing baseball	680	1.14E-04	0.243803559	0.24832413
Running	685	5.35E-04	0.365027947	0.408849058
Playing racquet sports	685	3.81E-04	0.793136035	0.80227217
Weightlifting/strength training	685	6.21E-04	0.387916875	0.413329505
Hiking	685	4.23E-04	0.836960927	0.840796992
Biking	685	5.66E-04	0.682016802	0.712673099
Walking	685	0.002949888	0.638015745	0.686402336
Using cardiovascular equipment	685	0.000518518	0.389049221	0.389214424
Participating in water sports	685	0.001699402	0.530464951	0.54558368
Playing basketball	685	6.66E-04	0.318461174	0.315126328
"Working out, unspecified"	685	0.001873856	0.539003576	0.547402939
"Skiing, ice skating, snowboarding"	685	3.38E-04	0.698963941	0.709265022
Doing yoga	685	1.86E-04	0.435163082	0.455992288
Playing billiards	685	1.04E-04	0.126359022	0.123537694
Fishing	685	0.001583135	0.94716296	0.959106621
Dancing	685	8.42E-05	0.11295242	0.11131426
Playing football	685	8.67E-05	0.089724078	0.094051196
Vehicle touring/racing	685	2.60E-04	0.647488895	0.656789611
Softball	685	9.70E-05	0.162857498	0.167704748
Playing soccer	685	2.54E-04	0.315428394	0.324198552
Doing aerobics	685	1.80E-04	0.29384142	0.299433334
Hunting	685	7.18E-04	0.660870275	0.672320576
Participating in martial arts	685	4.59E-05	0.150609323	0.146321988
Bowling	685	3.57E-04	0.289585135	0.29610796
Rollerblading	685	1.11E-04	0.349522393	0.336376891
Golfing	685	0.002314714	0.987191413	0.992565834
Playing volleyball	685	8.85E-05	0.186256615	0.18655612
Boating	685	4.51E-04	0.669795025	0.686701171
Playing baseball	685	1.12E-04	0.239455831	0.239618372
Running	690	6.96E-04	0.474754224	0.411708494
Playing racquet sports	690	3.81E-04	0.792967177	0.75041552
Weightlifting/strength training	690	7.84E-04	0.489617345	0.438151608
Hiking	690	4.37E-04	0.86455587	0.828785506
Biking	690	6.19E-04	0.745780321	0.701992127
Walking	690	0.003403737	0.73617616	0.665165847
Using cardiovascular equipment	690	4.62E-04	0.346917378	0.341457063
Participating in water sports	690	0.001821135	0.568463782	0.54897893
Playing basketball	690	6.74E-04	0.322361303	0.312797717
"Working out, unspecified"	690	0.001899935	0.546505142	0.528869873
"Skiing, ice skating, snowboarding"	690	3.55E-04	0.735533727	0.710641449
Doing yoga	690	2.06E-04	0.483103595	0.445368337
Playing billiards	690	1.01E-04	0.123453829	0.120633918
Fishing	690	0.00162956	0.974938001	0.956144067
Dancing	690	8.42E-05	0.11295242	0.09996478
Playing football	690	9.11E-05	0.094263621	0.093579061
Vehicle touring/racing	690	2.71E-04	0.675391044	0.66326716
Softball	690	1.06E-04	0.177399246	0.17105747
Playing soccer	690	2.65E-04	0.329304355	0.318758727
Doing aerobics	690	1.77E-04	0.288699775	0.25779302
Hunting	690	7.37E-04	0.678104273	0.656187169
Participating in martial arts	690	4.59E-05	0.150609323	0.144013394
Bowling	690	3.78E-04	0.306835909	0.295177165
Rollerblading	690	1.13E-04	0.354826958	0.345607851
Golfing	690	0.002344747	1	0.980740973
Playing volleyball	690	9.21E-05	0.194017055	0.201038405
Boating	690	4.81E-04	0.71387108	0.700287827
Playing baseball	690	1.10E-04	0.235595726	0.234830928
Running	695	5.79E-04	0.39534331	0.429338222
Playing racquet sports	695	3.19E-04	0.665143349	0.706538191
Weightlifting/strength training	695	6.99E-04	0.436920604	0.450429692
Hiking	695	3.97E-04	0.784839719	0.808994601
Biking	695	5.63E-04	0.678179256	0.705245591
Walking	695	0.002872629	0.621305637	0.656605998
Using cardiovascular equipment	695	3.84E-04	0.288404592	0.319035857
Participating in water sports	695	0.001755603	0.548008056	0.558064781
Playing basketball	695	6.22E-04	0.297570673	0.31161263
"Working out, unspecified"	695	0.001742087	0.501100901	0.52376873
"Skiing, ice skating, snowboarding"	695	3.37E-04	0.697426678	0.713238239
Doing yoga	695	1.78E-04	0.417838334	0.440410026
Playing billiards	695	9.19E-05	0.112088903	0.115345604
Fishing	695	0.001581745	0.946331241	0.963365666
Dancing	695	5.52E-05	0.073989501	0.090515654
Playing football	695	9.35E-05	0.096749485	0.098838772
Vehicle touring/racing	695	2.67E-04	0.66692154	0.668000418
Softball	695	1.03E-04	0.172915665	0.160039761
Playing soccer	695	2.51E-04	0.311543433	0.312849079
Doing aerobics	695	1.17E-04	0.190837865	0.223898622
Hunting	695	6.84E-04	0.62958696	0.645725236
Participating in martial arts	695	3.99E-05	0.130821538	0.137417466
Bowling	695	3.56E-04	0.289110452	0.296620299
Rollerblading	695	1.06E-04	0.332474201	0.334536393
Golfing	695	0.002239307	0.955031507	0.968462802
Playing volleyball	695	1.06E-04	0.222841545	0.216283792
Boating	695	4.83E-04	0.717197378	0.717120965
Playing baseball	695	1.07E-04	0.229441227	0.236131475
Running	700	6.13E-04	0.417917131	0.404500072
Playing racquet sports	700	3.17E-04	0.661504046	0.663360504
Weightlifting/strength training	700	6.80E-04	0.424751127	0.439405185
Hiking	700	3.93E-04	0.777588213	0.773144649
Biking	700	5.74E-04	0.691777195	0.680487684
Walking	700	0.002831158	0.612336198	0.618785452
Using cardiovascular equipment	700	4.29E-04	0.321785603	0.318076845
Participating in water sports	700	0.001786724	0.557722505	0.554545547
Playing basketball	700	6.58E-04	0.314905915	0.314174915
"Working out, unspecified"	700	0.001820653	0.523700148	0.522271094
"Skiing, ice skating, snowboarding"	700	3.41E-04	0.706754311	0.724671797
Doing yoga	700	1.79E-04	0.42028815	0.422121877
Playing billiards	700	9.06E-05	0.110494081	0.112259789
Fishing	700	0.001619347	0.968827756	0.961718298
Dancing	700	6.31E-05	0.084605041	0.078902546
Playing football	700	1.02E-04	0.105503212	0.101655322
Vehicle touring/racing	700	2.65E-04	0.661688669	0.664803766
Softball	700	7.73E-05	0.129804373	0.140847788
Playing soccer	700	2.40E-04	0.297699448	0.29188223
Doing aerobics	700	1.18E-04	0.192158226	0.200287067
Hunting	700	6.84E-04	0.629484475	0.629180373
Participating in martial arts	700	3.99E-05	0.130821538	0.130821538
Bowling	700	3.62E-04	0.293914535	0.293584272
Rollerblading	700	1.01E-04	0.31630802	0.334329585
Golfing	700	0.002228347	0.950356899	0.953441691
Playing volleyball	700	1.10E-04	0.231992776	0.226004229
Boating	700	4.85E-04	0.720294438	0.720978392
Playing baseball	700	1.14E-04	0.243357473	0.252036167
Running	705	5.87E-04	0.400239774	0.3957492
Playing racquet sports	705	3.18E-04	0.663434116	0.625033263
Weightlifting/strength training	705	7.31E-04	0.456543824	0.442246394
Hiking	705	3.83E-04	0.757006013	0.775813726
Biking	705	5.57E-04	0.6715066	0.678544357
Walking	705	0.002879143	0.62271452	0.600320393
Using cardiovascular equipment	705	4.59E-04	0.344040341	0.337254526
Participating in water sports	705	0.001787313	0.55790608	0.562772996
Playing basketball	705	6.90E-04	0.330048158	0.326066309
"Working out, unspecified"	705	0.001884316	0.542012234	0.524028425
"Skiing, ice skating, snowboarding"	705	3.72E-04	0.769834402	0.744474739
Doing yoga	705	1.83E-04	0.428239146	0.414268345
Playing billiards	705	9.36E-05	0.114196384	0.113499465
Fishing	705	0.001621299	0.969995899	0.968700294
Dancing	705	5.82E-05	0.078113096	0.080277078
Playing football	705	9.93E-05	0.102713268	0.101092742
Vehicle touring/racing	705	2.67E-04	0.665801089	0.66132822
Softball	705	7.14E-05	0.119823326	0.124711485
Playing soccer	705	2.14E-04	0.266403809	0.274470567
Doing aerobics	705	1.33E-04	0.21786511	0.204096888
Hunting	705	6.83E-04	0.628469684	0.637742002
Participating in martial arts	705	3.99E-05	0.130821538	0.130821538
Bowling	705	3.67E-04	0.297727829	0.294723745
Rollerblading	705	1.13E-04	0.354206534	0.341573696
Golfing	705	0.002239085	0.954936665	0.953028351
Playing volleyball	705	1.06E-04	0.223178367	0.231337185
Boating	705	4.89E-04	0.725443361	0.730628557
Playing baseball	705	1.32E-04	0.2833098	0.274563195
Running	710	5.41E-04	0.369090695	0.368748629
Playing racquet sports	710	2.64E-04	0.550161627	0.578008862
Weightlifting/strength training	710	7.13E-04	0.445444231	0.447262928
Hiking	710	4.01E-04	0.792846951	0.776037192
Biking	710	5.58E-04	0.672349276	0.672320952
Walking	710	0.002616507	0.565910462	0.576139348
Using cardiovascular equipment	710	4.61E-04	0.345937634	0.324652324
Participating in water sports	710	0.001834676	0.572690403	0.571679284
Playing basketball	710	6.96E-04	0.333244855	0.334756035
"Working out, unspecified"	710	0.001760415	0.506372892	0.507492949
"Skiing, ice skating, snowboarding"	710	3.65E-04	0.756835503	0.764339035
Doing yoga	710	1.68E-04	0.39427774	0.402435183
Playing billiards	710	9.49E-05	0.115807929	0.111949089
Fishing	710	0.001616755	0.967277227	0.968097567
Dancing	710	5.82E-05	0.078113096	0.078113096
Playing football	710	9.19E-05	0.095061745	0.096712873
Vehicle touring/racing	710	2.63E-04	0.656494902	0.643376883
Softball	710	7.41E-05	0.124506755	0.124118734
Playing soccer	710	2.09E-04	0.259308444	0.264014495
Doing aerobics	710	1.24E-04	0.202267327	0.207466588
Hunting	710	7.12E-04	0.655271847	0.643123004
Participating in martial arts	710	3.99E-05	0.130821538	0.136020351
Bowling	710	3.61E-04	0.292528871	0.28989897
Rollerblading	710	1.13E-04	0.354206534	0.345877615
Golfing	710	0.0022364	0.953791487	0.954539771
Playing volleyball	710	1.13E-04	0.238840412	0.238044391
Boating	710	5.03E-04	0.746147872	0.73508152
Playing baseball	710	1.39E-04	0.297022312	0.293275435
Running	715	4.94E-04	0.336915418	0.37518477
Playing racquet sports	715	2.50E-04	0.520430843	0.547090361
Weightlifting/strength training	715	7.04E-04	0.43980073	0.471418589
Hiking	715	3.94E-04	0.778258611	0.818787468
Biking	715	5.59E-04	0.673106981	0.698937208
Walking	715	0.002495752	0.539793062	0.607664226
Using cardiovascular equipment	715	3.78E-04	0.283978997	0.332253368
Participating in water sports	715	0.001872321	0.58444137	0.592241741
Playing basketball	715	7.13E-04	0.340975093	0.361723724
"Working out, unspecified"	715	0.001648196	0.474093721	0.512110223
"Skiing, ice skating, snowboarding"	715	3.70E-04	0.766347201	0.778666632
Doing yoga	715	1.64E-04	0.384788664	0.413393333
Playing billiards	715	8.68E-05	0.105842956	0.110378062
Fishing	715	0.001616324	0.967019574	0.969249004
Dancing	715	5.82E-05	0.078113096	0.082248126
Playing football	715	8.93E-05	0.092363607	0.097378145
Vehicle touring/racing	715	2.44E-04	0.607834657	0.634193352
Softball	715	7.62E-05	0.12802612	0.125425955
Playing soccer	715	2.14E-04	0.266331231	0.284028076
Doing aerobics	715	1.24E-04	0.202267327	0.207417084
Hunting	715	7.02E-04	0.645627481	0.654686804
Participating in martial arts	715	4.46E-05	0.146417976	0.141219163
Bowling	715	3.44E-04	0.27944021	0.288714241
Rollerblading	715	1.05E-04	0.329219778	0.35090084
Golfing	715	0.002238978	0.954891161	0.96278469
Playing volleyball	715	1.20E-04	0.252114395	0.252262049
Boating	715	4.94E-04	0.733653328	0.74768074
Playing baseball	715	1.40E-04	0.299494192	0.301037348
Running	720	6.15E-04	0.419548197	0.368500156
Playing racquet sports	720	2.74E-04	0.570678612	0.530717078
Weightlifting/strength training	720	8.47E-04	0.529010807	0.489534019
Hiking	720	4.48E-04	0.885256842	0.812113166
Biking	720	6.23E-04	0.751355368	0.685424692
Walking	720	0.003316412	0.717289153	0.616181603
Using cardiovascular equipment	720	4.89E-04	0.366843475	0.346499376
Participating in water sports	720	0.001984935	0.619593451	0.602169384
Playing basketball	720	8.59E-04	0.410951223	0.392339669
"Working out, unspecified"	720	0.001932472	0.555864057	0.517268833
"Skiing, ice skating, snowboarding"	720	3.92E-04	0.812817192	0.76673077
Doing yoga	720	1.97E-04	0.461113595	0.381255809
Playing billiards	720	8.98E-05	0.109483302	0.106912428
Fishing	720	0.001627073	0.97345021	0.932580603
Dancing	720	6.75E-05	0.090518186	0.077517257
Playing football	720	1.01E-04	0.104709083	0.102167721
Vehicle touring/racing	720	2.56E-04	0.638250496	0.618523932
Softball	720	7.37E-05	0.12374499	0.12004877
Playing soccer	720	2.63E-04	0.326444553	0.294345718
Doing aerobics	720	1.33E-04	0.217716597	0.197902323
Hunting	720	7.21E-04	0.663161085	0.616158331
Participating in martial arts	720	4.46E-05	0.146417976	0.138712179
Bowling	720	3.63E-04	0.294173641	0.281679049
Rollerblading	720	1.18E-04	0.369276209	0.349304931
Golfing	720	0.002297082	0.979671423	0.943729676
Playing volleyball	720	1.26E-04	0.26583134	0.244521411
Boating	720	5.14E-04	0.763241022	0.736269958
Playing baseball	720	1.43E-04	0.306595542	0.30580203
Running	725	5.12E-04	0.349036854	0.380462229
Playing racquet sports	725	2.40E-04	0.501041779	0.52777733
Weightlifting/strength training	725	8.00E-04	0.49979052	0.518805738
Hiking	725	3.91E-04	0.772824044	0.813703939
Biking	725	5.24E-04	0.631811727	0.673573746
Walking	725	0.002734648	0.591462593	0.638092574
Using cardiovascular equipment	725	5.18E-04	0.388675658	0.395873426
Participating in water sports	725	0.001930089	0.602473331	0.616518421
Playing basketball	725	8.88E-04	0.425092691	0.420533225
"Working out, unspecified"	725	0.001814217	0.52184872	0.544303542
"Skiing, ice skating, snowboarding"	725	3.48E-04	0.721027916	0.752259305
Doing yoga	725	1.27E-04	0.297865168	0.354249843
Playing billiards	725	8.64E-05	0.105411025	0.131198172
Fishing	725	0.001432887	0.857272023	0.89668561
Dancing	725	4.77E-05	0.06392049	0.073952601
Playing football	725	1.06E-04	0.109430474	0.112277774
Vehicle touring/racing	725	2.44E-04	0.609486643	0.613466232
Softball	725	6.45E-05	0.108375201	0.110868886
Playing soccer	725	2.34E-04	0.290261369	0.308336407
Doing aerobics	725	1.06E-04	0.173723045	0.181118766
Hunting	725	5.87E-04	0.539686427	0.584738696
Participating in martial arts	725	3.76E-05	0.123300584	0.131006382
Bowling	725	3.35E-04	0.271423295	0.284572788
Rollerblading	725	1.11E-04	0.349418805	0.35603794
Golfing	725	0.002102362	0.896626445	0.932689031
Playing volleyball	725	1.02E-04	0.215618499	0.23520677
Boating	725	4.79E-04	0.711915525	0.72716998
Playing baseball	725	1.45E-04	0.311316357	0.312166701
Running	730	5.46E-04	0.372801638	0.380203267
Playing racquet sports	730	2.46E-04	0.511611598	0.515060933
Weightlifting/strength training	730	8.44E-04	0.527615885	0.531154126
Hiking	730	3.96E-04	0.783030932	0.787089326
Biking	730	5.29E-04	0.637554143	0.648678891
Walking	730	0.002799671	0.605525977	0.612811844
Using cardiovascular equipment	730	5.76E-04	0.432101145	0.421214793
Participating in water sports	730	0.002010227	0.627488482	0.622085283
Playing basketball	730	8.89E-04	0.425555762	0.423980792
"Working out, unspecified"	730	0.001930156	0.55519785	0.54575322
"Skiing, ice skating, snowboarding"	730	3.49E-04	0.722932806	0.739848221
Doing yoga	730	1.30E-04	0.303770767	0.307436849
Playing billiards	730	1.46E-04	0.178700189	0.155460775
Fishing	730	0.001436334	0.859334597	0.859885479
Dancing	730	5.03E-05	0.067419127	0.064878383
Playing football	730	1.19E-04	0.122693765	0.118946768
Vehicle touring/racing	730	2.38E-04	0.592661557	0.598279109
Softball	730	5.98E-05	0.100486468	0.112154018
Playing soccer	730	2.48E-04	0.308303301	0.307119218
Doing aerobics	730	9.29E-05	0.151916656	0.158417749
Hunting	730	5.99E-04	0.551368577	0.54932462
Participating in martial arts	730	3.76E-05	0.123300584	0.107652834
Bowling	730	3.55E-04	0.288121428	0.288757777
Rollerblading	730	1.11E-04	0.349418805	0.349418805
Golfing	730	0.002161316	0.921769225	0.916311104
Playing volleyball	730	1.06E-04	0.224170472	0.223255689
Boating	730	4.76E-04	0.706353394	0.708978187
Playing baseball	730	1.49E-04	0.318588203	0.310749731
Running	735	6.14E-04	0.418771311	0.396367948
Playing racquet sports	735	2.56E-04	0.53252942	0.51730687
Weightlifting/strength training	735	9.06E-04	0.566055972	0.557789973
Hiking	735	4.07E-04	0.805413004	0.777693522
Biking	735	5.61E-04	0.676670802	0.65845455
Walking	735	0.002965753	0.641446963	0.623934924
Using cardiovascular equipment	735	5.90E-04	0.442867576	0.428719679
Participating in water sports	735	0.002038437	0.636294035	0.636982927
Playing basketball	735	8.80E-04	0.421293924	0.4176366
"Working out, unspecified"	735	0.001947591	0.560213089	0.556178423
"Skiing, ice skating, snowboarding"	735	3.75E-04	0.775583941	0.752122724
Doing yoga	735	1.37E-04	0.320674612	0.308266088
Playing billiards	735	1.49E-04	0.18227111	0.181687858
Fishing	735	0.001442544	0.863049815	0.86598231
Dancing	735	4.72E-05	0.063295532	0.069560507
Playing football	735	1.21E-04	0.124716066	0.1258242
Vehicle touring/racing	735	0.000237712	0.592689127	0.59180155
Softball	735	7.60E-05	0.127600384	0.120084297
Playing soccer	735	2.60E-04	0.322792984	0.323928186
Doing aerobics	735	9.15E-05	0.149613547	0.137909982
Hunting	735	6.05E-04	0.556918855	0.56667342
Participating in martial arts	735	2.33E-05	0.076357333	0.092005084
Bowling	735	3.78E-04	0.306728607	0.315194102
Rollerblading	735	1.11E-04	0.349418805	0.370546619
Golfing	735	0.002181875	0.930537642	0.929430567
Playing volleyball	735	1.09E-04	0.229978097	0.221809004
Boating	735	4.77E-04	0.708665641	0.719699336
Playing baseball	735	1.41E-04	0.302344632	0.324295408
Running	740	5.83E-04	0.397530897	0.395709798
Playing racquet sports	740	2.44E-04	0.50777959	0.513025819
Weightlifting/strength training	740	9.28E-04	0.579698061	0.579911155
Hiking	740	3.77E-04	0.74463663	0.764479665
Biking	740	5.49E-04	0.661138704	0.671824766
Walking	740	0.002888932	0.624831831	0.617204499
Using cardiovascular equipment	740	5.48E-04	0.411190317	0.425756222
Participating in water sports	740	0.002073267	0.647166266	0.643698601
Playing basketball	740	8.49E-04	0.406060113	0.410191344
"Working out, unspecified"	740	0.001922947	0.55312433	0.554099211
"Skiing, ice skating, snowboarding"	740	3.66E-04	0.757851425	0.765621229
Doing yoga	740	1.28E-04	0.300352884	0.307043142
Playing billiards	740	1.51E-04	0.184092275	0.184198936
Fishing	740	0.001463459	0.875562516	0.864227296
Dancing	740	5.81E-05	0.077966861	0.073076418
Playing football	740	1.26E-04	0.13006277	0.127328317
Vehicle touring/racing	740	2.37E-04	0.590053965	0.591905577
Softball	740	7.87E-05	0.132166041	0.130644155
Playing soccer	740	2.74E-04	0.340688275	0.335999586
Doing aerobics	740	6.86E-05	0.112199742	0.118201617
Hunting	740	6.43E-04	0.591732828	0.585860719
Participating in martial arts	740	2.33E-05	0.076357333	0.070301331
Bowling	740	4.32E-04	0.350732272	0.338925235
Rollerblading	740	1.31E-04	0.412802246	0.388399118
Golfing	740	0.002194648	0.935984833	0.930791828
Playing volleyball	740	1.00E-04	0.211278442	0.21751166
Boating	740	5.01E-04	0.744078971	0.738315159
Playing baseball	740	1.64E-04	0.351953389	0.340503747
Running	745	5.44E-04	0.370827187	0.365998663
Playing racquet sports	745	2.39E-04	0.498768448	0.5093206
Weightlifting/strength training	745	9.51E-04	0.593979431	0.616203282
Hiking	745	3.76E-04	0.743389361	0.763678183
Biking	745	5.62E-04	0.677664793	0.69900867
Walking	745	0.002706316	0.585334703	0.656517101
Using cardiovascular equipment	745	5.64E-04	0.423210773	0.434545641
Participating in water sports	745	0.00207477	0.647635501	0.668987509
Playing basketball	745	8.43E-04	0.403219994	0.409286964
"Working out, unspecified"	745	0.00190847	0.548960214	0.563839472
"Skiing, ice skating, snowboarding"	745	3.69E-04	0.763428321	0.787004202
Doing yoga	745	1.28E-04	0.300101932	0.297222685
Playing billiards	745	1.53E-04	0.186233421	0.188329677
Fishing	745	0.001427534	0.854069557	0.874558852
Dancing	745	5.81E-05	0.077966861	0.078044528
Playing football	745	1.23E-04	0.127206115	0.135218957
Vehicle touring/racing	745	2.38E-04	0.592973639	0.623256082
Softball	745	7.87E-05	0.132166041	0.137470937
Playing soccer	745	2.77E-04	0.344517499	0.347209364
Doing aerobics	745	5.68E-05	0.092791561	0.105407989
Hunting	745	6.62E-04	0.608930473	0.606814495
Participating in martial arts	745	1.77E-05	0.058189325	0.064245328
Bowling	745	4.43E-04	0.359314826	0.357422118
Rollerblading	745	1.28E-04	0.402976302	0.412825423
Golfing	745	0.002170891	0.925853009	0.932666681
Playing volleyball	745	1.00E-04	0.211278442	0.214404858
Boating	745	5.13E-04	0.762200865	0.776877283
Playing baseball	745	1.71E-04	0.367213221	0.351050779
Running	750	4.83E-04	0.329637904	0.327835889
Playing racquet sports	750	2.50E-04	0.521413763	0.492863495
Weightlifting/strength training	750	0.001080125	0.674932353	0.654795546
Hiking	750	4.06E-04	0.803008558	0.784125636
Biking	750	6.29E-04	0.758222514	0.707269702
Walking	750	0.003511042	0.759384768	0.660735388
Using cardiovascular equipment	750	6.25E-04	0.469235834	0.435207169
Participating in water sports	750	0.002281484	0.712160761	0.684078545
Playing basketball	750	8.75E-04	0.418580785	0.410488418
"Working out, unspecified"	750	0.002049178	0.589433873	0.557030585
"Skiing, ice skating, snowboarding"	750	4.05E-04	0.839732862	0.794185327
Doing yoga	750	1.24E-04	0.29121324	0.290873293
Playing billiards	750	1.60E-04	0.194663333	0.196351188
Fishing	750	0.00149435	0.894044482	0.868150388
Dancing	750	5.83E-05	0.07819986	0.078122194
Playing football	750	1.43E-04	0.148387988	0.152065974
Vehicle touring/racing	750	2.75E-04	0.686740643	0.671134062
Softball	750	8.82E-05	0.148080731	0.137498799
Playing soccer	750	2.87E-04	0.356422318	0.350457918
Doing aerobics	750	6.80E-05	0.111232662	0.103221903
Hunting	750	6.74E-04	0.619780185	0.610948662
Participating in martial arts	750	1.77E-05	0.058189325	0.058189325
Bowling	750	4.47E-04	0.362219255	0.34798049
Rollerblading	750	1.35E-04	0.422697721	0.401358648
Golfing	750	0.002195064	0.936162203	0.918366912
Playing volleyball	750	1.05E-04	0.220657691	0.212938946
Boating	750	5.55E-04	0.824352014	0.789444341
Playing baseball	750	1.56E-04	0.333985727	0.337779003
Running	755	4.15E-04	0.283042577	0.297918043
Playing racquet sports	755	2.20E-04	0.458408275	0.473121205
Weightlifting/strength training	755	0.001113	0.695474853	0.701839266
Hiking	755	4.08E-04	0.805978988	0.83700641
Biking	755	5.69E-04	0.685921801	0.713344966
Walking	755	0.002947442	0.637486693	0.679164295
Using cardiovascular equipment	755	5.51E-04	0.413174902	0.431201643
Participating in water sports	755	0.002218305	0.692439374	0.712451738
Playing basketball	755	8.56E-04	0.409664476	0.41835244
"Working out, unspecified"	755	0.001851933	0.53269767	0.545049907
"Skiing, ice skating, snowboarding"	755	3.76E-04	0.779394798	0.803378325
Doing yoga	755	1.20E-04	0.281304708	0.266604578
Playing billiards	755	1.71E-04	0.208156808	0.206650842
Fishing	755	0.001431324	0.856337124	0.868057296
Dancing	755	5.83E-05	0.07819986	0.08306532
Playing football	755	1.75E-04	0.180603819	0.171710094
Vehicle touring/racing	755	2.94E-04	0.733687905	0.708636608
Softball	755	7.88E-05	0.132249625	0.13752666
Playing soccer	755	2.82E-04	0.350433936	0.349004543
Doing aerobics	755	6.46E-05	0.105641487	0.112647865
Hunting	755	6.57E-04	0.604135328	0.611239239
Participating in martial arts	755	1.77E-05	0.058189325	0.058189325
Bowling	755	3.97E-04	0.322407388	0.337030108
Rollerblading	755	1.20E-04	0.378401919	0.39451275
Golfing	755	0.00209406	0.893085523	0.912529656
Playing volleyball	755	9.83E-05	0.206880706	0.212758882
Boating	755	5.27E-04	0.781780143	0.796252498
Playing baseball	755	1.46E-04	0.31213806	0.319181831
Running	760	4.12E-04	0.281073649	0.298215735
Playing racquet sports	760	2.11E-04	0.439541578	0.44651055
Weightlifting/strength training	760	0.001176431	0.735110592	0.731243852
Hiking	760	4.56E-04	0.902031683	0.877607334
Biking	760	5.77E-04	0.695890582	0.69480927
Walking	760	0.002961936	0.640621423	0.651485436
Using cardiovascular equipment	760	5.48E-04	0.411194193	0.414547729
Participating in water sports	760	0.00234746	0.732755081	0.73638748
Playing basketball	760	8.92E-04	0.42681206	0.426357423
"Working out, unspecified"	760	0.001783517	0.513018178	0.529027586
"Skiing, ice skating, snowboarding"	760	3.82E-04	0.791007314	0.802825657
Doing yoga	760	9.70E-05	0.227295786	0.253234171
Playing billiards	760	1.78E-04	0.217132384	0.212077643
Fishing	760	0.001427067	0.853790282	0.857934929
Dancing	760	6.92E-05	0.09279624	0.08793078
Playing football	760	1.80E-04	0.186138476	0.185015894
Vehicle touring/racing	760	2.83E-04	0.705481275	0.717835762
Softball	760	7.88E-05	0.132249625	0.134451621
Playing soccer	760	2.74E-04	0.340157376	0.338277852
Doing aerobics	760	7.41E-05	0.121069447	0.126507848
Hunting	760	6.63E-04	0.609802204	0.608793913
Participating in martial arts	760	1.77E-05	0.058189325	0.058189325
Bowling	760	4.02E-04	0.326463682	0.329080988
Rollerblading	760	1.22E-04	0.38243861	0.370455385
Golfing	760	0.00212983	0.90834124	0.905989373
Playing volleyball	760	1.00E-04	0.21073825	0.219920936
Boating	760	5.27E-04	0.782625338	0.779064795
Playing baseball	760	1.45E-04	0.311421706	0.330206235
Running	765	4.84E-04	0.33053098	0.304869603
Playing racquet sports	765	2.12E-04	0.441581796	0.431864874
Weightlifting/strength training	765	0.001221297	0.763146111	0.744006529
Hiking	765	4.68E-04	0.924811331	0.925781427
Biking	765	5.83E-04	0.702615428	0.694669169
Walking	765	0.00312712	0.676348191	0.660919634
Using cardiovascular equipment	765	5.59E-04	0.419274091	0.40952593
Participating in water sports	765	0.002511526	0.783967984	0.766204531
Playing basketball	765	9.25E-04	0.442595732	0.436910217
"Working out, unspecified"	765	0.001882072	0.541366911	0.521482775
"Skiing, ice skating, snowboarding"	765	4.05E-04	0.83807486	0.836105692
Doing yoga	765	1.07E-04	0.251102019	0.243166608
Playing billiards	765	1.73E-04	0.210943737	0.216152912
Fishing	765	0.001443593	0.863677383	0.8598433
Dancing	765	6.92E-05	0.09279624	0.093997986
Playing football	765	1.82E-04	0.188305388	0.189106008
Vehicle touring/racing	765	2.87E-04	0.714338107	0.707651515
Softball	765	8.27E-05	0.138855614	0.136653618
Playing soccer	765	2.61E-04	0.324242244	0.338687916
Doing aerobics	765	9.35E-05	0.152812611	0.146089547
Hunting	765	6.66E-04	0.612444207	0.614413182
Participating in martial arts	765	1.77E-05	0.058189325	0.058189325
Bowling	765	4.17E-04	0.338371894	0.337415632
Rollerblading	765	1.12E-04	0.350525626	0.366385298
Golfing	765	0.002149058	0.916541355	0.912653059
Playing volleyball	765	1.15E-04	0.242143852	0.233754358
Boating	765	5.20E-04	0.772788904	0.776211692
Playing baseball	765	1.71E-04	0.367058938	0.343855282
Running	770	4.44E-04	0.303004179	0.31227556
Playing racquet sports	770	1.99E-04	0.414471247	0.425915986
Weightlifting/strength training	770	0.001174274	0.733762883	0.724073088
Hiking	770	4.81E-04	0.950501266	0.943421157
Biking	770	5.69E-04	0.685501497	0.679703893
Walking	770	0.0030783	0.665789286	0.661680926
Using cardiovascular equipment	770	5.31E-04	0.398109505	0.399331312
Participating in water sports	770	0.002504871	0.781890529	0.780291083
Playing basketball	770	9.22E-04	0.44132286	0.44467852
"Working out, unspecified"	770	0.001773244	0.510063237	0.512253045
"Skiing, ice skating, snowboarding"	770	0.000424572	0.879234901	0.873224362
Doing yoga	770	1.07E-04	0.251102019	0.249246858
Playing billiards	770	1.81E-04	0.220382616	0.226549084
Fishing	770	0.001440894	0.862062235	0.860552023
Dancing	770	7.19E-05	0.096401477	0.091336285
Playing football	770	1.86E-04	0.19287416	0.196222213
Vehicle touring/racing	770	2.82E-04	0.703135163	0.728675533
Softball	770	8.27E-05	0.138855614	0.134804455
Playing soccer	770	2.83E-04	0.351664126	0.344972592
Doing aerobics	770	1.01E-04	0.164386583	0.166354879
Hunting	770	6.75E-04	0.620993135	0.617276973
Participating in martial arts	770	1.77E-05	0.058189325	0.060416914
